strain,Parameter,Estimate,SE,MoE,CI95_low,CI95_high,PValue,R2_adj,R2_w,R2_x,R2_y,R2_z,RSS_global,RSS_w,RSS_x,RSS_y,RSS_z,AIC
E2,p9,0.00722457047341258,0.0047944143298111,0.009714406179702,-0.00248983570628943,0.0169389766531146,0.140334543401786,0.989149234029241,0.94348552832915,0.996599642628283,0.985489060748406,0.994875885085191,17.224033439563,0.115780868501492,0.0858673041609266,15.6229191431602,1.39946612374037,-14.600226359217
E3,p1,0.0200975168950563,0.00188691770596145,0.00382325843417527,0.016274258460881,0.0239207753292316,7.99784166754941e-13,0.987871111742961,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-12.3891241833267
E3,p2,0.1,0.0832414419388847,0.168663182268243,-0.0686631822682435,0.268663182268243,0.237258943368801,0.987871111742961,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-12.3891241833267
E3,p3,0.00753797299659555,0.00410127336420133,0.00830996917936678,-0.000771996182771232,0.0158479421759623,0.0741079816822281,0.987871111742961,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-12.3891241833267
E3,p4,0.199780445310339,0.0808655563447575,0.163849180784404,0.0359312645259351,0.363629626094742,0.0182234410703813,0.987871111742961,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-12.3891241833267
E3,p6,0.160093014213684,0.0414456743851536,0.0839769130643568,0.076116101149327,0.244069927278041,0.000435808445579509,0.987871111742961,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-12.3891241833267
E3,p8,0.0818319059683,0.0218735519417716,0.0443200260840933,0.0375118798842066,0.126151932052393,0.000619745670975204,0.987871111742961,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-12.3891241833267
E3,p9,0.01,0.00541010375526149,0.0109619114531163,-0.000961911453116323,0.0209619114531163,0.0725498337826811,0.987871111742961,0.936667307321225,0.995095759958428,0.983418429394673,0.995858587592331,18.1116979246128,0.126839122632687,0.117207930619075,16.7462637041597,1.12138716720128,-12.3891241833267
E4,p1,0.0104574879211525,0.00119563883144619,0.0024225943887812,0.00803489353237134,0.0128800823099337,1.54784976680895e-10,0.992795629472692,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,16.0536534917707
E4,p2,0.1,0.0901467766558805,0.182654719426514,-0.0826547194265137,0.282654719426514,0.274458129648621,0.992795629472692,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,16.0536534917707
E4,p3,0.00270422024722907,0.00215217744834099,0.00436072572492973,-0.00165650547770066,0.0070649459721588,0.216808533413161,0.992795629472692,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,16.0536534917707
E4,p4,0.297083029434542,0.124529302193777,0.252320333531306,0.0447626959032359,0.549403362965847,0.0222814321101263,0.992795629472692,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,16.0536534917707
E4,p6,0.186005707609372,0.0561116763998632,0.113693055809331,0.0723126518000405,0.299698763418703,0.00205983346940321,0.992795629472692,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,16.0536534917707
E4,p8,0.0950253904587098,0.0290242879668232,0.0588087935231637,0.0362165969355461,0.153834183981874,0.00230454894882788,0.992795629472692,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,16.0536534917707
E4,p9,0.00135873305005999,0.00403730775322779,0.00818036254051914,-0.00682162949045915,0.00953909559057913,0.738361815424978,0.992795629472692,0.946324342240108,0.993226777384712,0.990402786750858,0.995404530848598,34.5699493584693,0.0937742668787778,0.389139006817229,29.4671733798182,4.61986270495504,16.0536534917707
E5,p1,0.0106946576301611,0.000936187163412098,0.0018968953744902,0.00879776225567091,0.0125915530046513,1.08016674173423e-13,0.99252682714282,0.963387309237346,0.993397530863588,0.98986985103192,0.996079072836259,39.776760734713,0.111291792604059,0.243822771863462,35.2273180947966,4.19432807544887,22.2267677613615
